Name,Website,HQ,Type,Estimated Site Count,States,Intera ICP Score,Overall Site Quality,Recruitment Strength,Operational Maturity,Sponsor Attractiveness,Therapeutic Expertise,Historical Trials (CT.gov),Completed,Terminated/Withdrawn,Completion Rate %,Active Now,Recruiting Studies,Phase 2 Trials,Phase 3 Trials,Total Realized Enrollment,First Study Year,Years Active,Therapeutic Breadth (conditions),Performance Match Confidence,Sponsor Diversity (#),CRO Diversity (#),Repeat Sponsors (#),Industry-Sponsored Studies,Top Sponsors,Named CROs,Enrollment Velocity (inf),Startup Speed (inf),Recruitment Sophistication,Publication History (inf),CTMS,EHR,eSource,eConsent,Florence,CRIO,Clinical Conductor,RealTime,Epic,Cerner,Therapeutic Areas,Therapeutic Specialties (detail),Languages,Home Visits,Decentralized Capabilities,Number of Investigators,Approx Coordinator Count,Sponsors Worked With,CROs Worked With,Public Partnerships,Recent Hiring,Expansion,Funding,Acquisitions,Owner/Parent/Funding,Facebook Ads,Meta Pixel,Google Ads,SEO,Trial Finder,Patient Database,Recruitment Pages,Advertises Patient Recruitment,Technology Stack,Uses AI,Builds Tech Internally or Vendors,Current Recruiting Studies Visible,CEO,VP Clinical Operations,VP Site Operations,VP Recruitment/Innovation,Contact Emails,LinkedIn URL,Mentions DCT,Recruitment Capability,Notes
Bernstein Clinical Research Center,https://www.bernsteinallergyresearch.com/,"Cincinnati, OH",Independent Network,2,OH,4,53,38,69,52,50,100,74,12,86,11,6,29,54,62576,1999,26,56,high,53,14,21,99,"Meda Pharmaceuticals; Shire; CSL Behring; Amgen; Ellodi Pharmaceuticals, LP; ARS Pharmaceuticals, Inc.",,2407,74,43,56,,,,,,,,,,,"Allergy, Asthma, Immunology, COPD, Hereditary Angioedema, Eczema, Hives, Atopic Dermatitis, Chronic Cough, Sublingual Immunotherapy","Allergy, asthma, immunology, eczema, hives, COPD, hereditary angioedema, chronic cough",English,,,Unknown (900+ trials since 1969),,Multiple sponsors,Multiple CROs,Part of Bernstein Allergy/Advanced Allergy Services network,,"Cincinnati, OH area",,,Private/Independent,,,,,Y,,Y,Y,Unknown,N,Unknown,Y,"Dr. David I. Bernstein, Dr. Jonathan A. Bernstein",Unknown,Unknown,Unknown,Unknown; Phone: 513-728-4747,Unknown,N,900+ clinical trials since 1969; 40+ years experience; board-certified physicians; dedicated coordinators; established patient base,"Long-standing, reputable single-specialty research site (2 locations). Limited to allergy/immunology focus; not typical SMO model. Limited recruitment innovation signal. Weak Intera fit: no multi-therapeutic diversity, narrow specialty, no visible patient recruitment marketing, appears traditional/academic."
InSite Clinical Research,https://insiteclinical.com,"Dallas-Fort Worth, TX",Independent Network,1 (inpatient Serenity 12-bed unit + outpatient),TX,3,53,41,64,52,53,111,80,19,81,12,7,39,58,102735,2004,22,83,high,51,12,21,111,"Indivior Inc.; Otsuka Pharmaceutical Development & Commercialization, Inc.; Pfizer; Bristol-Myers Squibb; Boehringer Ingelheim; Karuna Therapeutics, Inc., a Bristol Myers Squibb company",IQVIA Biotech; Precision For Medicine; Premier Research; Syneos Health; Worldwide Clinical Trials,4670,73,29,53,,,,,,,,,,,"Psychiatry, Neurology, Schizophrenia (specialty focus)","Psychiatry (inpatient/outpatient), neurology, CNS disorders, schizophrenia, bipolar, substance use",English,"N (inpatient facility model, clinics, Serenity in-patient facility)",N,"2 principal investigators (Raj Shiwach MD, Ben Kurian MD)",,Pharma sponsors (20+ years experience),,,,Y (partnership/acquisition in Jan 2026 by Adams Clinical/InTandem Capital),Acquired by InTandem Capital Partners via Adams Clinical (2026),Acquired by Adams Clinical (InTandem portfolio) Jan 2026,Adams Clinical (partnership/acquisition announced Dec 2024),,,,Limited presence; niche psychiatry focus,,,Y,Y,Unknown,N,Unknown,Y,Unknown,Unknown,Unknown,Unknown,Phone: (972) 283-6286,Unknown,N,"30+ years psychiatric/neurologic trial experience; inpatient schizophrenia focus; board-certified PIs (Shiwach, Kurian)","Poor Intera fit: Single specialty site, narrow psychiatric focus, limited scale. Acquired/partnered by Adams Clinical (expanding into inpatient psych/neuro only). No multi-site network or broad therapeutic coverage. Not recruitment-constrained; niche expertise."
Altasciences,https://www.altasciences.com,"Laval, Quebec, Canada (US operations: Los Angeles, Baltimore, and 7 other North American locations)",SMO,580+ beds across North America; 500+ partner sites,"CA, MD, plus Canadian sites",7,52,18,70,64,57,167,133,4,97,27,14,12,2,11104,2017,9,114,high,78,18,31,158,Novo Nordisk A/S; Eli Lilly and Company; Vertex Pharmaceuticals Incorporated; Pharmtechnology LLC; AbbVie; argenx,,1234,96,14,48,,,Y - ClinSpark (Foundry Health platform),,,,,,,,"Clinical pharmacology, NDA-enabling studies, small & large molecules, CNS (Center of Excellence for cognitive function, abuse potential), psychedelic trials, special populations","Early-phase drug development, clinical pharmacology, Phase I-II trials",English + Spanish (detected),,"Y - locations in US (Los Angeles, Baltimore, others) & Canada (Laval)",,,Biotech & pharma partners,Full-service CRO,Foundry Health (ClinSpark eSource platform),,Y - multiple North American locations,,,Founded 1995; $6.7M in total funding,,,,,N,"400,000+ participants",N,Y,"Co-located bioanalytical labs, integrated regulatory and scientific strategy, robust program/project management systems",N,Integrated in-house services,Y,Marie-Hélène Raigneau,Robert Sabelli (Co-Chief Operating Officer),Unknown,Unknown,media@altasciences.com,https://www.linkedin.com/company/altasciences,N,"High - 400,000+ healthy volunteers and special populations in recruitment database; streamlined enrollment processes","Good Intera fit: integrated mid-size CRO with 580+ beds, 500+ partner sites, large recruitment database (400K+), publicly advertises recruitment services, multi-site network enabling concurrent studies. Primary service is early-phase clinical development (Phase I/II) which aligns with high-volume enrollment opportunities. No DCT or AI mentions noted. Growth-focused with recent executive transitions but established operations."
FOMAT Medical Research,https://fomatmedical.com,"Oxnard, CA",Site Network,80,"CA, OR, WA, AZ, NV, ID, Ecuador, Canada (7 US states + international)",7,52,71,51,40,38,53,18,4,82,30,20,21,23,207751,2018,8,61,low,34,15,10,51,"Sanofi; Pfizer; ModernaTX, Inc.; Gilead Sciences; Exact Sciences Corporation; Celldex Therapeutics",Premier Research; Teva Branded Pharmaceutical Products R&D LLC,25969,91,57,33,Integrated CTMS system,"Multiple EHR integration (Practice Fusion, eClinicalWorks); EHR-based prescreening",Y,Y,,,,,,,"Cardiology, Dermatology, Oncology, Gastroenterology, Infectious Disease, Vaccines, Allergy/Immunology, Metabolic/Endocrinology, Nephrology, Pediatrics, Rheumatology, Wound Care","Digestive disease, oncology, cardiovascular, endocrinology, metabolic disease","English, Spanish",N,"Y; EHR-based prescreening, remote monitoring, paperless enrollment, multilingual outreach",,,Multiple pharma sponsors,Multiple CROs via embedded research model,Community partner recruitment (93%+ of recruitment),Y; CTMS Analyst and research coordinator positions,Y; Multi-site network across United States,,,Privately held; founded 2013; ~55 employees; Phoenix Equity Partners involvement mentioned in hyperCORE partnership,,,,Moderate; Blog with therapeutic area information,Y,Y; Large active patient network,Y,Y,"EHR integration, ReqoData, Hipa.ai mentioned in notes; electronic prescreening and enrollment systems",Unknown,"Vendors (ReqoData, Hipa.ai) + internal systems",Y,Unknown,Unknown,Unknown,Unknown,"info@fomatmedical.com, (805) 465-3574 for trial participation",https://www.linkedin.com/company/fomat-medical-research,N,Embedded research organization with 80+ sites across 7 states; 40+ principal investigators; 1.7M+ patient database; Phase I-IV capabilities; embedded research teams in community-based care model; EHR-based prescreening; multilingual community outreach; diverse patient populations; recent Phase I expansion in California,Good Intera fit: multi-state network with 80+ sites and broad therapeutic mix covering high-enrollment areas. Embedded research model focused on community diversity and patient access. EHR integration and multilingual outreach show sophistication. Recent Phase I expansion signals growth. 1.7M+ patient database and 40+ PIs provide significant recruitment capability. Growing organization with multiple concurrent studies. Strong candidate. [Validated: 5 active recruiting cardiometabolic trials on ClinicalTrials.gov.]
Great Lakes Clinical Trials (Flourish Research),https://flourishresearch.com/locations/chicago-andersonville/,"Chicago, IL (Great Lakes); Apex, NC (Flourish parent)",Site Network,2+ Chicago sites (Great Lakes); 15+ total Flourish network sites,Illinois (Chicago primarily); Flourish network: multi-state,7,52,82,47,34,38,43,12,3,80,28,13,9,27,200263,2020,6,77,high,23,6,11,43,"Eli Lilly and Company; BioNTech SE; Pfizer; ModernaTX, Inc.; Hoffmann-La Roche; Crystalys Therapeutics",Parexel,33377,88,86,32,Unknown (proprietary),HealthKey EHR screening; supports multiple EHRs,Y,Y,,,,,,,"Psychiatry, neurology, metabolic disorders, CNS, Alzheimer's, infectious diseases, vaccines, cardiometabolic, oncology, neuroscience","Cardiometabolic, neuroscience, oncology, infectious disease, vaccines",English,N,"Y; HealthKey EHR-based screening, remote monitoring capabilities",150+,,Multiple pharma and biotech sponsors,Multiple CROs,None listed,"Y; CTMS Analyst, research coordinator positions",Y; 24 sites; acquired Diablo Clinical Research (Feb 2025),Genstar Capital majority investment (Sept 2024); PE-backed,Diablo Clinical Research (2025),Acquired by Flourish Research (2022); Flourish acquired by Genstar Capital (2024),Y,Y,,Strong; Blog and study information pages,Y,Y; Large participant database,Y,Y,Standardized shared technology platforms and best-in-class QA systems,Unknown,Vendors (shared Flourish tech platforms),Y,Unknown (Flourish corporate),Unknown,Unknown,Unknown,,https://www.linkedin.com/company/greatlakesct,N,30+ years combined PI experience; specialty in Chicago underserved populations (1.5M); top enrollers in various studies; diverse recruitment focus,"Founded 2013 as Great Lakes, now part of Flourish Research network. Strong Chicago presence with 1.5M underserved population access. Founder Steve Satek (30+ years, SCRS Board member). Chief Medical Director Jeffrey Ross, M.D. Good recruitment capabilities, diversity focus, and operational excellence. Now integrated into larger scaling platform with multiple therapeutic areas. [Validated: 8 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
Universal Axon Clinical Research,https://uaclinical.com/,"Doral, Florida",Site Network,12,Florida,7,52,71,49,41,41,54,25,9,74,18,9,15,33,238297,2015,11,68,high,34,16,11,52,"AbbVie; Kissei Pharmaceutical Co., Ltd.; Veru Inc.; Pfizer; ModernaTX, Inc.; Eli Lilly and Company","IQVIA Pty Ltd; Medpace, Inc.; Syneos Health",21663,75,57,37,,EMR networks,Y,,,,,,,,"Neurology, Psychiatry, Metabolic disorders, COVID-19, Crohn Disease, Ulcerative Colitis, Multiple therapeutic areas","Neurology, psychiatry, metabolic disorders",English + Spanish (detected),,Y (EMR-based centralized services),,,Multiple,Y,Rovia network (launched Sept 2024),,Y (Rovia network expansion to national footprint),PE (Gauge Capital),Part of Rovia network (Sept 2024),"Rovia Clinical Research (parent company, founded 2007, PE-backed via Gauge Capital)",,,,,Y,Y,Y,Y,"EMR networks, patient-first care model",N,Vendors (leverages EMR networks),Y,Patricio Casillas (Rovia parent company CEO),Tanya Astorga (VP Clinical Operations),Alistaire Utley (Site Director),Unknown,glenda.padron@roviaclinical.com,https://www.linkedin.com/company/rovia-clinical-research,N,"High - EMR-network-driven recruitment, community-based patient engagement, diverse population focus","Part of Rovia Clinical Research network (12+ sites, rapidly expanding nationally). ClinicalTrials.gov validation: 4 active recruiting cardiometabolic trials. Rovia leadership: Patricio Casillas (CEO), Jeff Repper (COO), Rebecca Goldfaden (Chief Scientific Officer). Multi-site network structure and PE backing suggest growth focus and recruitment scaling capability aligned with Intera."
Cardiovascular Research of Northwest Indiana LLC,,Indiana,Independent Site,1,Indiana,5,52,56,56,47,45,66,43,9,83,14,8,0,44,418144,2003,22,66,high,33,24,14,61,Eli Lilly and Company; Amgen; Boehringer Ingelheim; Abbott Medical Devices; Pfizer; Zoll Medical Corporation,,19007,55,0,47,,,,,,,,,,,"Cardiometabolic (cardiology/endocrinology/hepatology/renal, per ClinicalTrials.gov)",,,,,,,,,,,,,,Unknown,,,,,,,,Unknown,Unknown,Unknown,Unknown,Y,,,,,unitedstates@bitrialsupport.com,,Unknown,5 active recruiting cardiometabolic trials (ClinicalTrials.gov),Surfaced via ClinicalTrials.gov mining (not on curated lists). 5 active recruiting cardiometabolic trials across 1 location(s). Actively-recruiting independent site = warm Intera lead; website/leadership not yet verified.
Charleston Neuroscience Institute,https://www.retinasouthcarolina.com/,"Mount Pleasant, South Carolina",Hybrid,8,South Carolina,5,52,38,66,52,52,96,44,15,75,36,18,33,65,131470,2000,26,75,high,52,18,17,94,"Hoffmann-La Roche; Kodiak Sciences Inc; AbbVie; Janssen Research & Development, LLC; Allergan; Regeneron Pharmaceuticals",Fortrea; Parexel,5057,88,14,58,,,,,,,,,,,"Retina/Ophthalmology, Neuroscience, Retinal Diseases, Diabetic Retinopathy, AMD","Retinal/vitreoretinal care, ophthalmology, ophthalmic research; affiliated with Retina Consultants of America network","Spanish, Portuguese (based on staff background)",,,"Mona Camacci MD, Dr. John Chancellor (2026); multiple physicians",Julia Topping (Clinical Research Site Manager as of Oct 2024); expanding team,Multiple pharma sponsors,Yes,Retina Consultants of America (RCA) network affiliation,Y - Clinical Research Site Manager hired Oct 2024,"Y - new site launched May 2025 in Bluffton; expansion to Lake City, Little River, Myrtle Beach",Private,Part of Retina Consultants of America network,Retina Consultants of America (RCA) - 21st practice added. RCA now owned by Cencora (acquired Nov 2024). Founded 1999 by Dr. Virgil Alfaro III,,,,Moderate; retina care and research presence,,,,Y,,N,,Y,Unknown,Carlos Ortiz (Director of Clinical Trials),Unknown,Unknown,a.chatelain@retinasouthcarolina.com,https://www.linkedin.com/company/charleston-neuroscience-institute,N,Medium - part of larger RCA network,Part of Retina Consultants of America network (21st practice affiliate). RCA recently acquired by Cencora for specialty leadership. CTGOV signal: 13 recruiting trials across 5 South Carolina locations. Specialty retina focus limits broader appeal; parent company acquisition suggests consolidation trend.
PrecISE,https://preciseasthma.org/,"Chapel Hill, NC (Data Coordinating Center at UNC)",Academic Network,30+,Multi-state US network (exact states not enumerated),4,52,43,64,50,51,111,76,18,81,17,12,27,71,111929,2005,21,72,high,50,13,17,109,"Sumitomo Pharma America, Inc.; Hoffmann-La Roche; Pfizer; Otsuka Pharmaceutical Development & Commercialization, Inc.; Indivior Inc.; Naurex, Inc, an affiliate of Allergan plc",,5330,77,29,51,,,,,,,,,,,Severe asthma,Severe Asthma; precision medicine interventions; adolescents & adults,,,Y (10+ clinical center network; NIH-funded precision medicine network),10+ (10 clinical centers),,,,"NHLBI/NIH, UNC Chapel Hill (Data Coordinating Center), Collaborative Studies Coordinating Center",,Unknown (study completed Mar 2025),NHLBI/NIH,,"National Heart, Lung, and Blood Institute (NHLBI); University of North Carolina, Chapel Hill",,,,Y (academic research presence),,,Y (Patient registration pages),Y,UNC Chapel Hill data coordination; standard clinical trial infrastructure,N,Unknown,N (enrollment completed),Unknown,Unknown,Unknown,Unknown,precise@unc.edu,Unknown,N,Strong; enrolled 950 participants; precision medicine approach,Academic precision medicine study network; closed enrollment (primary trial completed 2025); limited ongoing recruitment capability; 30+ site network but no apparent patient recruitment services or innovation signals; pure research focus without commercial recruitment arm
Ohio Sleep Medicine Institute,https://sleepmedicine.com/,"Dublin, Ohio",Independent Network,1,Ohio,3,52,33,64,58,56,123,83,15,85,21,9,25,74,82093,2003,22,100,high,56,18,26,120,United Therapeutics; Jazz Pharmaceuticals; Pfizer; Boehringer Ingelheim; Takeda; Fisher and Paykel Healthcare,Worldwide Clinical Trials,3732,64,14,56,,,,,,,,,,,"Sleep medicine, Narcolepsy, Sleep apnea, Restless legs syndrome, Hypersomnia","Sleep disorders, Sleep apnea, Insomnia, Narcolepsy, Restless legs, Parasomnias",English + Spanish (detected),Y,,,,,,,,,,,Private/independently established (1990),,,,,,,,Y,Unknown,N,Unknown,Y,Dr. Asim Roy (Medical Director),Unknown,Unknown,Unknown,614-766-0773 x153,Unknown,N,On-site patient recruitment,Single-site specialty sleep center; established 1990 (36 years); 13+ active narcolepsy trials visible; strong local recruitment but limited geographic reach; no multi-site expansion evident; poor fit for Intera's network-based model
Premier Research (Women's Health Division),https://premier-research.com,"Morrisville, North Carolina",CRO,"5,240+ sites (women's health globally)",Global operations,3,52,39,59,47,64,108,33,9,79,65,22,23,87,167886,2004,22,378,high,21,30,13,76,National Cancer Institute (NCI); SWOG Cancer Research Network; Alliance for Clinical Trials in Oncology; NRG Oncology; AbbVie; Eli Lilly and Company,,7631,70,0,60,,,Y,,,,,,,,"Women's health, multi-indication","Women's health, Contraception, Reproductive health, Diagnostics",,,Y,,,"Daré Bioscience, multiple pharma",CRO model,Daré Bioscience,,,,Health Decisions (2021),Publicly traded (RUO)... [need to verify],,,,Y,,,,N,"Remarque® CTMS, ePremier, Premier One Ecosystem, AI-powered analytics",Y,Builds tech internally,N,John Ratliff,Unknown,Unknown,Unknown,Unknown,Unknown,N,Large global site network,"Global full-service CRO with women's health specialization; 5,240+ sites but NOT owned sites—vendor network; pure CRO model, not SMO/site network; not aligned with Intera's target (need owned/managed sites); strong tech infrastructure but wrong business model for Intera partnership"
BRCR Global,https://brcrglobal.com/,"Plantation, Florida",SMO,20,"Florida, Texas, Puerto Rico, and global (LATAM, Ecuador, Mexico, Argentina, Colombia)",8,51,42,56,51,54,87,25,7,78,54,35,38,48,112225,2013,13,140,high,48,20,15,87,"Pfizer; ModernaTX, Inc.; Sanofi; Regeneron Pharmaceuticals; Eli Lilly and Company; Takeda",,8633,89,14,48,,,,,,,,,,,"Oncology, Infectious Disease, Rare Disease, Multiple Therapeutic Areas","Oncology, Internal Medicine, Phase I-IV; 98%+ protocol adherence, 100% regulatory compliance",Y (Spanish; operations in Latin America/Caribbean),,"Y (global network: USA, Mexico, Costa Rica, Ecuador, Peru, Brazil)",,,Multiple sponsors (specific names not disclosed),Yes,BOCA Site Network,,"Y (founded 2009 Boca Raton, now global with offices in 6 countries)",,,Privately held; founded 2009; Ecuadorian engineer Aldo Zambrano founder; 62 employees,,,,"Moderate (CRO focus, global network content)",,,,Y,"Predictive data models, modern data management systems",Y,Builds Internally,Y,Aldo Zambrano (Founder & CEO),Unknown,Unknown,Unknown,"aschneider@brcrglobal.com, info@brcrglobal.com",https://www.linkedin.com/company/brcrglobal,N,High - recognized for exceptional patient recruitment rate; global network,"Global clinical research SMO with US-LATAM presence. Founded 2009, now 62 employees with $7.5M revenue. Predictive models and data management tech indicate innovation focus. CTGOV signal: 12 recruiting trials across 6 locations (Florida, Texas). Strong recruitment capability and tech sophistication. Good Intera fit for global expansion."
Mid Atlantic Retina,https://midatlanticretina.com/,"Plymouth Meeting, Pennsylvania",Site Network,22,"Pennsylvania, New Jersey, Delaware",8,51,28,65,58,54,133,65,18,78,49,21,52,54,32143,2006,20,88,high,53,22,22,127,"Hoffmann-La Roche; Wills Eye; Genentech, Inc.; Apellis Pharmaceuticals, Inc.; AbbVie; Gyroscope Therapeutics Limited",Fortrea,1607,89,29,53,,,Y,,,,,,,,"Retinal diseases (macular degeneration, diabetic retinopathy, vein occlusions, retinal detachment, pediatric retinal care)","Retinal diseases (macular degeneration, diabetic retinopathy, retinal detachment, vitreoretinal)",English + Spanish (detected),N,N,"Multiple (Wills Eye faculty, national/international specialists)",,,,"Wills Eye Hospital, Retinal and Ophthalmic Consultants",Y (Dr. Yuxi Zheng recruited),"Y (merged with Retinal and Ophthalmic Consultants, multiple locations)",,Merged with Retinal and Ophthalmic Consultants,"Founded 1974; affiliated with Wills Eye Hospital (nation's first eye hospital, top-ranked); 135 employees; $50M annual revenue",,,,,,,Y,Y,Unknown,N,Unknown,Y,John Duemmel (since 2011),Unknown,Unknown,Unknown,asortiz@midatlanticretina.com,https://www.linkedin.com/company/mid-atlantic-retina,N,High; 4 dedicated research centers; 30 physicians; established network,"Established, multi-site retina network with 30 board-certified physicians across 22 locations in PA/NJ/DE tri-state area. 4 research centers. Affiliated with Wills Eye Hospital (principal faculty). World-renowned in retinal disease treatment & innovation. CTGOV signal: 10 recruiting trials across 3 locations, New Jersey/Pennsylvania"
Revive Research Institute,https://reviveresearch.org,"Southfield, MI",Site Network,20,"Michigan, Illinois, Texas, Arizona",8,51,44,56,54,48,90,30,10,75,50,36,37,50,68419,2014,12,87,high,51,28,15,89,"Janssen Research & Development, LLC; Eli Lilly and Company; Pfizer; Biohaven Therapeutics Ltd.; Merck Sharp & Dohme LLC; AbbVie",Premier Research; Worldwide Clinical Trials,5702,88,43,43,,,Y,,,,,,,,"Cardiology, Dermatology, Gastroenterology, Neurology, Psychiatry, Pulmonology, Women's Health, Internal Medicine","Dermatology, Internal Medicine, Cardiology, Psychiatry, Endocrinology, Women's Health","English, Unknown others",,,Multiple (>5 named sites),,,,Pharmbiotest Poland,Y (Multiple coordinator and management positions),"Y (New Jersey site 2024, Poland Phase I facility)",,,Founded by Mazhar Jaffry; private,,,,"Blog content present, social media engagement",Y,,Y,Y,Standard clinical trial management systems,Unknown,Vendors,Y,Mazhar Jaffry,Unknown,Unknown,Unknown,Grewal@rev-research.com,https://www.linkedin.com/company/revive-research-institute-inc,Unknown,High - Multi-location network with diverse therapeutic expertise,"Fast-growing CRO founded 2015. CEO Mazhar Jaffry; leadership includes Sikar Grewal (Director of Clinical Research), Ravi Alla (Director of Clinical Administration). ~20 clinical research centers across 4 states, ~10,000 patients in database, 80 active studies, 150 studies in pipeline, 500+ enrolled patients. GCSA Certification. ClinicalTrials.gov signal: 9 recruiting trials across 4 locations. Strong fit for Intera - growth-focused multi-location network with demonstrated recruitment capability and innovation orientation."
Tribe Clinical Research,https://www.tribeclinicalresearch.com,"Greenville, SC",Site Network,11,"SC (Greenville, Greer, Simpsonville, Spartanburg, Charleston)",8,51,54,59,39,46,90,42,4,91,44,23,21,62,171141,2018,8,76,low,27,4,14,90,"Eli Lilly and Company; Pfizer; Merck Sharp & Dohme LLC; Sanofi Pasteur, a Sanofi Company; Sanofi; Boehringer Ingelheim",,21393,96,14,39,,,,,,,,,,,"Pediatrics, Adults: Vaccines, Weight Loss/Obesity, Heart Health, Diabetes, Dermatology, Migraine, Memory/Alzheimer's, Allergy, GI, Sleep, Women's Health","Chronic diseases, medical devices, vaccines, pediatrics, endocrinology",Multilingual team,,,11+,36 total staff,,,Physician-embedded network model,Y - 30.8% employee YoY growth,Y - revenue growth $65M→$380M (2020-2024),Unknown specific rounds,,Unknown,,,,,,200k+ patient access,,Y,Unknown,N,Unknown,Y,"Jennifer Speares Lehman, RPh",Amanda Whitehead (Director of Operations),Unknown,"Cole Bensch (Senior Manager, Strategic Planning)",info@tribecr.com,linkedin.com/company/tribe-clinical-research,N,"150,000+ patient database; excellent enrollment track record; 200+ trials; multi-specialty partnerships with pediatric and primary care practices","Founded 2020; excellent Intera fit—multiple sites, recruitment-focused, diverse therapeutic mix including high-volume areas (vaccines, weight loss), visible recruiting studies (29+), embedded provider model for patient access. [Validated: 7 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
START (South Texas Accelerated Research Therapeutics),https://startresearch.com,"San Antonio, TX",SMO,11,"TX, MI, CO, and international (Spain, Portugal, Ireland)",7,51,19,60,64,66,152,56,33,63,60,42,38,1,8244,2007,19,306,high,89,19,28,148,"Eli Lilly and Company; Merck Sharp & Dohme LLC; Daiichi Sankyo; AbbVie; Seagen, a wholly owned subsidiary of Pfizer; BioNTech SE","ICON Clinical Research; MacroGenics; Medpace, Inc.; Microbiotica Ltd; Parexel",434,82,29,60,,,Y,,,,,,,,"Oncology (early phase), Phase I focus","Oncology: GU cancers, hematologic malignancies, gynecologic oncology, early-phase",English + Spanish (detected),,,40+,60+ (San Antonio),Multiple pharma,Multiple,"Northwell Health (NY), Madrid FJD, South Texas Oncology & Hematology",,"Y - multiple locations: San Antonio, Grand Rapids MI, Salt Lake City UT, Madrid, Barcelona, Lisbon, Dublin",Acquired by Warburg Pincus (April 2024),Acquired by Warburg Pincus (April 2024),Warburg Pincus (majority investor); PE-backed,,,,,Y,,,Y,Unknown,N,Unknown,Y,"Nick Slack, MBE (appointed 2024)",Unknown,Unknown,Unknown,Unknown,Unknown,N,"750 active studies globally; 100,000+ sq ft research facilities; 40+ principal investigators; early-phase oncology specialist","Multi-site early-phase oncology network; 11 US + international sites; well-capitalized (Warburg Pincus); strong PI base (40+ investigators); high trial volume (750 active); PE-backed growth model; good Intera fit—recruitment-intensive oncology trials, multiple sites, innovation-oriented."
Northridge Clinical Trials,https://northridgetrials.com,"Northridge, CA",Independent Site,1,California,6,51,50,61,42,45,59,25,7,78,27,17,18,30,105037,2002,24,66,high,32,15,14,56,Sanofi; Pfizer; Eli Lilly and Company; Bayer; Mineralys Therapeutics Inc.; Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,"IQVIA Biotech; Medpace, Inc.",4377,86,57,50,,,,,,,,,,,"Dermatology, Psychiatry, Obesity, Hidradenitis Suppurativa, Atopic Dermatitis, Psoriasis, Eczema",,English,,,Multi-specialty team,,Multiple sponsors,,Elite Clinical Network,,"Northridge, CA; 26 active trials (as of 2026)",,,Member of Elite Clinical Network,Strong social media and digital campaigns; 24/7 call center for ads,,,Strong local domain experience; extensive digital marketing strategy,Y,"Y (25,000+ candidates)",Y,Y,Standard clinical trial infrastructure,Unknown,Vendors,Y,Unknown,Unknown,Unknown,Unknown,"nezra@northridgetrials.com, info@northridgetrials.com",Unknown,Unknown,"High - Multi-specialty facility, 2,000 sq ft, 30,000+ patients supported","Multi-specialty clinical research facility in Northridge CA. Medical leadership: Dr. Navid Erza, MD (Dermatologist), Dr. Sabreen Faqihi, MD (Investigator), Dr. Jasmine Sawhne, MD (Psychiatrist). Address: 18433 Roscoe Blvd Suite 101, Northridge CA 91325. Phone: 818-350-7482. Facility: 2,000 sq ft multi-specialty, serves 30,000+ patients. Member of Elite Clinical Network. Primary focus on dermatology (AD, psoriasis, eczema, HS, obesity). 20 of 26 total trials active/enrolling. ClinicalTrials.gov signal: 8 recruiting trials."
Manassas Clinical Research Center,,Virginia,Independent Site,1,Virginia,5,51,40,59,53,50,103,65,15,81,22,7,39,52,164496,2006,20,76,high,45,18,22,99,"Eli Lilly and Company; Pfizer; Ionis Pharmaceuticals, Inc.; Gilead Sciences; Merck Sharp & Dohme LLC; Hoffmann-La Roche","IQVIA Pty Ltd; Medpace, Inc.; PRA Health Sciences",8225,62,0,50,,,,,,,,,,,"Cardiometabolic (cardiology/endocrinology/hepatology/renal, per ClinicalTrials.gov)",,,,,,,,,,,,,,Unknown,,,,,,,,Unknown,Unknown,Unknown,Unknown,Y,,,,,arleth@manassasclinic.com,,Unknown,5 active recruiting cardiometabolic trials (ClinicalTrials.gov),Surfaced via ClinicalTrials.gov mining (not on curated lists). 5 active recruiting cardiometabolic trials across 1 location(s). Actively-recruiting independent site = warm Intera lead; website/leadership not yet verified.
Tropical Clinical Trials,,Florida,Independent Site,1,Florida,5,51,47,60,49,44,61,38,6,86,17,9,13,44,268099,2000,26,57,high,32,51,12,56,"Merck Sharp & Dohme LLC; AbbVie; Janssen Research & Development, LLC; Pfizer; Janssen Vaccines & Prevention B.V.; National Institute of Allergy and Infectious Diseases (NIAID)",ICON Clinical Research; Novotech (Australia) Pty Limited; Teva Branded Pharmaceutical Products R&D LLC,10312,60,0,51,,,,,,,,,,,Per ClinicalTrials.gov recruiting profile,,,,,,,,,,,,,,Unknown,,,,,,,,Unknown,Unknown,Unknown,Unknown,Y,,,,,,,Unknown,4 active recruiting trials (CT.gov),Surfaced via ClinicalTrials.gov multi-therapeutic mining. 4 active recruiting trials across 1 location(s). Website/leadership not yet verified.
